source_path,destination_path,git_blob_sha,disposition,reason,category,boundary_cleanup
".github/workflows/silencer.lock.yml","","5f0dcf950d77c93559c94908e4fc9604b5ea157b","archived","Migration-only CI snapshot retained in audit tag tttv2-migration-audit-54648bc; no active repository destination.","archived_migration_context","true"
".github/workflows/t3000-unit-tests.yaml","","7b8c95470b49bfb15bf716b91c13e2d923f92645","archived","Migration-only CI snapshot retained in audit tag tttv2-migration-audit-54648bc; no active repository destination.","archived_migration_context","true"
".github/workflows/test-command.lock.yml","","965421d3b4d8d6d0218f62b7e786c8af3e686997","archived","Migration-only CI snapshot retained in audit tag tttv2-migration-audit-54648bc; no active repository destination.","archived_migration_context","true"
"conftest.py","tests/conftest.py","f8f547a30a2b4f920c745638f91647b8963e6f74","split","Extract only repository-root fixtures required by TTTv2, then decouple them from tt-metal-wide plugins and hardware policy.","test_fixture","true"
"models/common/auto_compose.py","examples/common/auto_compose.py","571fa0f114b567d4bb61734d36dbac010a29ab37","renamed","Retain the tensor composition helper used by module and validation tests without making it base runtime API.","qualification_tool","false"
"models/common/device_utils.py","src/tt_transformers/device_utils.py","0066f8fe3123d24a1d14a25bd9345a6690b6470e","renamed","Internalize the narrow device-name and architecture helpers required by TTTv2 production code.","production_support","false"
"models/common/distribute_as.py","tests/support/distribute_as.py","fc309609103fc149c0388737236041fe4d7a4c59","renamed","Retain distribution-validation support used by the extracted tests.","qualification_tool","false"
"models/common/lightweightmodule.py","src/tt_transformers/modules/lightweightmodule.py","6743db9026f0547737bda649db0b3ab8c78289c0","renamed","Internalize LightweightModule because all reusable modules and models depend on it.","production_support","false"
"models/common/llm_runtime/config.py","src/tt_transformers/llm_runtime/config.py","34e767bf49743e4d1df23139121d31ad5e4aa0ae","renamed","Mechanical move of the common TTTv2 runtime into the canonical package namespace.","production_runtime","false"
"models/common/llm_runtime/decode.py","src/tt_transformers/llm_runtime/decode.py","8d1685b68ddb1c41bbf7c31df0259c22cd46e825","renamed","Mechanical move of the common TTTv2 runtime into the canonical package namespace.","production_runtime","false"
"models/common/llm_runtime/execution.py","src/tt_transformers/llm_runtime/execution.py","5be975228764c390d23d4b856a29cbf6bf3d5738","renamed","Mechanical move of the common TTTv2 runtime into the canonical package namespace.","production_runtime","false"
"models/common/llm_runtime/lane_group.py","src/tt_transformers/llm_runtime/lane_group.py","4cffe71d197231578ff5d2214bc3946ca6cd0c23","renamed","Mechanical move of the common TTTv2 runtime into the canonical package namespace.","production_runtime","false"
