kind,layer,source_path,line,scope,symbol,signature_or_import,proposed_treatment
tttv1_namespace_import,models,models/common/models/deepseek_r1_distill_qwen_14b/generator.py,468,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/llama32_1b/generator.py,459,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/llama32_3b/generator.py,465,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/llama33_70b/generator.py,488,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/llama3_8b/generator.py,461,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
legacy_dispatch_or_adapter,models,models/common/models/llama3_8b/model.py,856,Llama3Transformer1D,Llama3Transformer1D.forward,"(self, x: ttnn.Tensor, current_pos=None, rot_mats_global=None, rot_mats_local=None, user_id: int=0, mode: str='decode', page_table=None, chunk_page_table=None, chunk_start_idx=None, get_last_token: int=-1, batch_size: int=1, chunk_start_idx_tensor=None, last_token_slice=None, last_token_index=None) -> ttnn.Tensor","Characterize direct callers, then remove the TTTv1-only adapter while retaining the TTTv2 core path."
tttv1_namespace_import,models,models/common/models/mistral_7b/generator.py,463,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/phi4/generator.py,463,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/qwen25_72b/generator.py,344,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/qwen25_7b/generator.py,463,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/qwen25_coder_32b/generator.py,345,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/qwen2_7b/generator.py,463,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
tttv1_namespace_import,models,models/common/models/qwen3_32b/generator.py,347,_create_submeshes,create_submeshes,from models.tt_transformers.tt.generator import create_submeshes,Owner: tt_transformers.mesh_utils. Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
from_model_args_factory,modules,models/common/modules/attention/attention_1d.py,1377,Attention1D,Attention1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, transformation_mats: dict[str, ttnn.Tensor], paged_attention_config=None, use_paged_kv_cache: bool=False)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
tttv1_namespace_import,modules,models/common/modules/attention/attention_1d.py,1392,Attention1D.from_model_args,OpGroup,from models.tt_transformers.tt.model_config import OpGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
tttv1_namespace_import,modules,models/common/modules/attention/attention_1d.py,1392,Attention1D.from_model_args,TensorGroup,from models.tt_transformers.tt.model_config import TensorGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
from_model_args_factory,modules,models/common/modules/embedding/embedding_1d.py,153,Embedding1D,Embedding1D.from_model_args,"(cls, mesh_device, args, weight_cache_path, state_dict, dtype, embed_scale: float=1.0)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
from_model_args_factory,modules,models/common/modules/lm_head/lm_head_1d.py,170,LMHead1D,LMHead1D.from_model_args,"(cls, mesh_device, args, state_dict, state_dict_prefix, weight_cache_path, max_columns_per_device, dtype=None, model_config=None, tt_ccl=None)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
